Employee Details,,,,,,,
,,,,,,,
Emp: no,Name,cartegory,Hour pay,allowances,gross pay,tax deductions,net pay
E8,cornell,Assistant,4600,300,4900,588,4312
E9,John,Asistant,3500,450,3950,474,3476
E2,Francis,Supervisor,6508,500,7008,840.96,6167.04
E3,Edwin,management,8006,1801,9807,1176.84,8630.16
E10,Carl,Assistant,4200,100,4300,516,3784
E4,Benard,Management,7917,1775,9692,1163.04,8528.96
E5,Goerge,supervisor,5500,850,6350,762,5588
E1,Lewis,management,8291,2500,10791,1294.92,9496.08
E6,Albert,Supervisor,5700,760,6460,775.2,5684.8
E7,Edward,Supervisor,7151,1545,8696,1043.52,7652.48
